,평점,일시,감상평
51,10,2019.05.23 20:55,미술 연출 소품 모두 화려함의 극치를 보여줍니다. 늘 그랬듯이 디즈니의 모든 기술과 자본을 때려박았습니다. 알라딘 지니 자스민 술탄 양탄자 빌런 심지어 라킴까지 존재감 발산함. 그리고 자스민 진짜이쁨
52,10,2019.06.01 02:41,볼때는 지니가 강렬했는데 보고난뒤 남주가 계속 생각난다는? 뭐지뭐지.. 뭔가 매력적임~ 굉장히 보면볼수록 캐릭터 찰떡이었음~ 굉장히 날렵하면서도 선해보이면서 약간 빈곤해 보이는것까지 억지스러운면이 일도 없었음.. 진짜 알라딘 뽑기가 제일 힘들었을듯.. 
53,10,2019.05.28 02:50,알리왕자뭐임...존잘..춤추는거도..와..
54,10,2019.05.24 14:46,대박이 날듯 싶네 ㅋㅋㅋㅋ 비주얼이 상상이상임돠!!
55,10,2019.05.24 23:38,22편을 다봐야 이해되는 어벤져스 엔드게임보다 아무생각없이 즐길수있는 이런 환상스런 영화가 나한테는 잘 맞는거 같다..
56,10,2019.05.26 12:46,"행복한 느낌이라는 평이 많은데 진짜 그럼. 단체엔딩씬 보면서 나도 같이 행복하고, 뭔가 가슴이 먹먹하고 헤어지기 싫은 그런 느낌...? 왠지 모르겠음 어린시절을 다시 만나 헤어지기 싫은 느낌 같은건가. 근데 추억 없이 봐도 재밌을 거 같음 "
57,10,2019.05.23 11:21,"90년대생인 나,일요일아침 디즈니만화동산을 눈비비면서 보던 시절이 생각났다."
58,10,2019.05.24 00:10,내가 영화를 보고 평점을 남기는 사람이 아닌데진짜 너무 재미있었고 지루하지  않았음 이번에 본 영화중 짱임 뭐볼지 고민한다면바로 알라딘아무도 안본사람 없었으면 좋겠음
59,10,2019.05.23 14:19,스토리를 다알아도 실사화를 정말 잘해서 하나도 안지루하고 재밌음  !
60,10,2019.05.23 16:21,A whole new world는 원작 애니 느낌과 분위기가 좋았지만 역시 띵곡이다
61,10,2019.05.23 10:39,자스민 캐스팅 신의 한 수!! 나오미 스콧 넘나 좋고 영화도 최고에요 ㅠㅠ!!
62,10,2019.05.23 13:31,어린이영화라고 치기엔 어른이 보기도 너무 재밌었습니다 굿굿
63,8,2019.05.24 14:50,실사영화중에 이만큼 선방한 작품은 없었다미녀야수보다 훨씬 높게 평가함
64,10,2019.05.26 02:24,"처음 아라비안 나잇~ 노래 나올때부터 감동받아 울뻔하고 알라딘 좀도둑 몰리는 씬에서 ost나올때랑 알리 아바브와 왕자 입장할때는 행복해서 입꼬리 씰룩거리며 괜스레 뿌듯, a whole new world 나올때는 벅차올라서 울뻔햇다 최고 시간 순삭 ㅠ "
65,10,2019.05.23 17:14,히어로영화보다는 이런영화보아야
66,10,2019.05.23 21:11,자스민 너무 이쁜거 아니냐.. ost도 그렇고.. 옛 향수가 그대로 영화로 들어왔음 대만족!!
67,10,2019.05.23 21:59,퇴근하고 혼자 보고왔는데 동화속에 들어갔다 온 기분이었어요!! 여자주인공이 정말 너무 멋있고 가슴 따뜻해지는 영화네요 최고최고
68,10,2019.05.25 03:23,두시간 동안 너무 행복했어. 또 초대 해줘 디즈니...
69,10,2019.05.23 23:44,어쩜 이런 찰떡 같은 배우들을 캐스팅 했을까..너무 아름답고 행복해지는 영화다..
70,10,2019.05.25 22:59,진짜 네티즌 평 보니까 나만 그렇게 생각하는게 아니구나ㅋㅋㅋ맨처음 아라비안나~이트 소름 쫙 돋고 윌스미스 하드캐리에 원작 제대로 후려갈김. 영상미 사운드 단연 최고.. 실사 영화중에 최고에요 정말... 마지막엔 눈물남 
71,10,2019.05.23 09:17,시사회 보고왔습니다.  역시 알라딘 입니다.  역시  디즈니 입니다.   감동과 즐거움을  선사합니딘.
72,10,2019.05.24 23:41,"지니의 한마디가 내내 남는다 ""너의 가치를 믿어"" 누군가의 여자가 아닌 한 사람으로써당당하게 표현되는 변화된 공주 캐릭터도너무 좋았다. 디즈니는 늘 옳다"
73,10,2019.05.30 23:18,영화를 보는 이유... 그 시간만큼은 다른세계에서 꿈을 꿀 수 있으니깐ㅋ 용기와 희망을 주니깐... 그래서 답답한 현실을 조금이나마 견뎌낼 힘이 생기니깐. 유치하다고 할 지 몰라도 세월이 갈수록 다큐같은 현실풍자 진지영화보단 이런 환상적인 동화가 좋다 
74,10,2019.05.23 15:18,어린시절 좋아했던 영화를 이렇게 나이를 먹고 실사화로 보니 감회가 새롭게 느껴졌습니다러닝타임이 2시간인지도 모르고 웃으며 행복하게 봤구요♥여러분도 이번에 알라딘을 보시고 그 시절의 나를 만나보시는게 어떨까요Do you trust me?Yes 
75,10,2019.05.24 14:53,디즈니 실사화 중에서 미녀와 야수가 최고일거라 생각했는데 알라딘이였네
76,10,2019.05.24 10:59,라이브액션이 원작보다 더 화려하고 재밌을줄이야 ㅜㅜ갓즈니 ㅜㅜ  그리고 A whole new world ㅜㅜ 진짜 명곡인걸 새삼 느낌
77,10,2019.05.26 02:43,나오미 스콧 입덕ㅋㅋ 입소문 탈 영화
78,10,2019.05.25 11:17,"디즈니라면 너무 좋아해서 신데렐라, 미녀와야수도 모두 봤음. 알라딘도 개봉날 달려갔는데 사실 앞선 두 영화보단 기대를 덜했음. 근데 개인적으로 세 영화 중 가장 최고였다 생각함. 영화보는 내내 웃다 뒤로 넘어가는줄알았음 "
79,10,2019.05.24 13:17,알라딘 대박터질 듯…! 진짜 상상이상으로 믿기지 않는 비주얼 ㄷㄷ..!!쟈스민 공주 넘나 이뿐것♥
80,10,2019.05.24 07:53,"내가 관람한 기준으로 지금까지 나온 디즈니 실사화 영화중 가장 재밌었어요. 영상미, 연출, 음악까지 전부 맘에 들고 진부하지 않게 현세대에 맞춘 연출력에 재미를 느꼈습니다~ 안 본사람 없게 해주세요"
81,10,2019.05.24 22:16,ㄹㅇ 너무 재밌다...알바아니고... 너무잘만들어서 울었다...실사판 성공이다..200퍼센트
82,10,2019.05.23 23:57,그냥 믿고 보셈. 무슨 말이 많음?
83,10,2019.05.25 11:11,재미있다(공감) 재미없다(비공)눌러주세요
84,10,2019.05.26 18:07,진짜 마지막에 끝나고 박수칠뻔했음
85,10,2019.05.25 03:44,정말 확실한건 시간은 절대 안아깝다
86,10,2019.05.26 02:33,솔직히 이런류?? 뮤지컬 영화 잘안보는데재밌고 시간가는줄 모르겠네ㅋㅋ진짜 강추드립니다.심야보고 콩나물국밥집에서 35짤 후기욤
87,10,2019.05.25 01:59,디즈니 자본냄새 굿.. 원작초월 자스민 speechless 나올때 소름
88,10,2019.05.25 14:30,왠만하면 안쓰는데.. 디즈니 실사 영화중에 가장 감동깊게 본영화다
89,10,2019.05.23 12:25,"연출, 음악, 연기, 영상미, 스케일 어느 것 하나 부족함이 없습니다.무엇보다 지루한 스토리 전개, 억지스러운 감동이 없어 너무 좋았습니다. 그리고 자스민 세존예♡♡"
90,10,2019.05.24 20:33,디즈니 영화중 역대 아름다워요양탄자 타고 둘이 노래부르며 날아다닐때 세상 너무 이뻐요 이영화 내 원픽
91,9,2019.05.23 21:51,재밌다. ㅋ 일단 재밌음.ㅋ 윌스미스도 웃기고 공주로 나온 배우 왜케 이쁜지ㅋ 노래도 잘하고 ㅋ
92,10,2019.05.23 21:57,윌스미스 하드캐리 존잼스!
93,10,2019.05.25 23:49,10만원짜리 뮤지컬 보고온 느낌.. 이게 영화다
