연번,업종명,업소명,소     재     지,전화번호
196,일반음식점,커먼커피(Common Coffee), 청주시 서원구 수곡로 102  한마음2차 상가11동 1층 106호 (수곡동),
197,일반음식점,리원 산남점, 청주시 서원구 산남로70번길 34  1층 113-1호 (산남동  신성미소시티블루1),
198,일반음식점,코코로메시야, 청주시 서원구 산남로70번길 34  1층 114호 (산남동  신성미소시티블루1),
199,일반음식점,더큰도시락 서원대점, 청주시 서원구 무심서로 377-3  2층 (모충동  제1동),
200,일반음식점,나눔의 쉼터, 청주시 서원구 현도면 죽전1길 71  1층,
201,일반음식점,컵오커피(cup o' coffee), 청주시 서원구 사직대로175번길 36  지하층 (사창동),
202,일반음식점,맥심, 청주시 서원구 산남로 56  7층 702호 (산남동  산남에버프라자),
203,일반음식점,사직동 맥주집, 청주시 서원구 예체로 55  상가동 2층 203호 (사직동  푸르지오캐슬),
204,일반음식점,쿄우노식당 개신점, 청주시 서원구 복대로 7  1층 106호 (개신동  대상마스터빌딩),
205,일반음식점,투썸플레이스 청주산남중앙점, 청주시 서원구 산미로 95  2동 1층 (산남동),
206,일반음식점,블링크(BLINK), 청주시 서원구 무심서로 479  1층 (사직동),
207,일반음식점,온니원, 청주시 서원구 복대로 7  대상마스터빌딩 1층 111 112호 (개신동),
208,일반음식점,네오피자 청주1호점, 청주시 서원구 봉명로142번길 45  1층 (사창동),
209,일반음식점,이팔청춘(충북대점), 청주시 서원구 1순환로672번길 19  3층 (사창동),
210,일반음식점,붐붐, 청주시 서원구 1순환로672번길 50  3층 (사창동),
211,일반음식점,하루세끼, 청주시 서원구 내수동로 170-1  1층 (사창동),
212,일반음식점,하누, 청주시 서원구 남이면 청남로 1827-30  1층,
213,일반음식점,두릅돈생갈비, 청주시 서원구 산미로 93  1층 (산남동),
214,일반음식점,쿄우다이, 청주시 서원구 내수동로108번길 18  2층 (사창동),
215,일반음식점,고급라면, 청주시 서원구 1순환로704번길 46  1층 (사창동),
216,일반음식점,국민야시장, 청주시 서원구 1순환로672번길 23  2층 3층 (사창동),
217,일반음식점,제주흑다돈 청주남이면지점, 청주시 서원구 남이면 석실1길 5  1층,
218,일반음식점,피스풀, 청주시 서원구 서원남로 11  1층 (모충동),
219,일반음식점,CnB(씨앤비), 청주시 서원구 장전로20번가길 10  1층 (성화동),
220,일반음식점,드랍더비트, 청주시 서원구 내수동로 107  지하1층 (사창동),
221,일반음식점,더리치, 청주시 서원구 대림로 427  1층 (죽림동),
222,일반음식점,홍어막주소, 청주시 서원구 산남로62번길 35  1층 106호 (산남동  신성미소시티블루2),
223,일반음식점,타임(TIME), 청주시 서원구 산남로 76  1층 106호 (산남동  인템프라자),
224,일반음식점,마더맘치킨 사창점, 청주시 서원구 창직로25번길 30 (사창동  지하 1층),
225,일반음식점,카페앙꼬, 청주시 서원구 내수동로 158-1  1층 (사창동),
226,일반음식점,치킨의민족 청주가경점, 청주시 서원구 성화로 113  1층 (죽림동),
227,일반음식점,달뜨면 술이랑 놀자, 청주시 서원구 호국로3번길 3-18  1층 (모충동),
228,일반음식점,로마(ROMA), 청주시 서원구 산남로 60  2층 203호 (산남동  RS타워),
229,일반음식점,주민상회, 청주시 서원구 구룡산로51번가길 24  1층 101호 (성화동),
230,일반음식점,설풍, 청주시 서원구 매봉로 190  401동 지하1층 103호 (모충동  동일센타시아),
231,일반음식점,디(D), 청주시 서원구 장전로6번가길 17  1층 (성화동),
232,일반음식점,서원 손만두, 청주시 서원구 수곡로58번길 22  1층 (수곡동),
233,일반음식점,먹거리포차, 청주시 서원구 구룡산로 398  1층 (수곡동),
234,일반음식점,찐구네 호들갑오징어, 청주시 서원구 장전로20번나길 10  1층 (성화동),
235,일반음식점,개똥이네포차, 청주시 서원구 1순환로672번길 7  3층 (사창동),
236,일반음식점,밀방, 청주시 서원구 내수동로 140  1층 (사창동),
237,일반음식점,애월(AEWOL), 청주시 서원구 구룡산로52번가길 32  1층 (성화동),
238,일반음식점,쌀좀씹은김밥, 청주시 서원구 구룡산로389번길 33  1층 (수곡동),
239,일반음식점,라일강호프, 청주시 서원구 호국로 55-2  1층 (사직동),
240,일반음식점,비긴어게인, 청주시 서원구 경신로 32-15  1층 (개신동),
241,일반음식점,신(辛)돼갈집, 청주시 서원구 1순환로1063번길 61-14  1층 (분평동),
242,일반음식점,진가네소곱창연구소, 청주시 서원구 복대로17번길 11  1층 103호 (개신동),
243,일반음식점,나카스야시장, 청주시 서원구 원마루로20번길 21  1층 (분평동),
244,일반음식점,대소해장국, 청주시 서원구 남이면 청남로 1827-12  1층,
245,일반음식점,모에루, 청주시 서원구 내수동로 125  1층 (사창동),
246,일반음식점,우리집 숯불고기, 청주시 서원구 내수동로108번길 28  3층 (사창동),
247,일반음식점,고구려짬뽕 분평점, 청주시 서원구 1순환로 1142  주2동 1층 (분평동),
248,일반음식점,워너비 박스(청주산남점), 청주시 서원구 산남로70번길 34  신성미소시티블루1 1층 107호 (산남동),
249,일반음식점,힐데스펍, 청주시 서원구 남이면 청남로 1827-32  1층,
250,일반음식점,하부, 청주시 서원구 두꺼비로20번길 41  재경빌 1층 (산남동),
251,일반음식점,한밭정, 청주시 서원구 안뜸로12번길 51-21  1층 (분평동),
252,일반음식점,그래도달, 청주시 서원구 용호로6번길 7  1층 101호 (죽림동),
253,일반음식점,알앤디(RnD), 청주시 서원구 내수동로108번길 28  지하1층 (사창동),
254,일반음식점,건강한진수성찬, 청주시 서원구 1순환로638번길 46  1층 (사창동),
255,일반음식점,큰길식당, 청주시 서원구 청남로 2090  1층 (수곡동),
256,일반음식점,만나고 쪽갈비가, 청주시 서원구 사직대로144번길 35-2  1층 104호 (사창동),
257,일반음식점,란멘, 청주시 서원구 구룡산로389번길 93  1층 (모충동),
258,일반음식점,택이네조개전골 산남점, 청주시 서원구 산남로70번길 18  뉴월드프라자 1층 103호 (산남동),
259,일반음식점,심야공간, 청주시 서원구 내수동로108번길 16  지하1층 (사창동),
260,일반음식점,정마담, 청주시 서원구 수곡로27번길 40  1층 (수곡동),
261,일반음식점,구구치킨&구구닭발, 청주시 서원구 호국로25번길 1  1층 (사직동),
262,일반음식점,이니스키친(E.NI`S KITCHEN), 청주시 서원구 남이면 청남로 1420  1층,
263,일반음식점,카페샌드-윗, 청주시 서원구 1순환로 751  1층 (개신동),
264,일반음식점,비포선라이즈, 청주시 서원구 1순환로680번길 5  2층 (사창동),
265,일반음식점,이디엇츠(iDIOTS), 청주시 서원구 내수동로108번길 18  1층 (사창동),
266,일반음식점,포차왕안춘배 산남점, 청주시 서원구 산남로70번길 18  뉴월드프라자 1층 105호 (산남동),
267,일반음식점,힐링톡, 청주시 서원구 두꺼비로60번길 11-15  1층 (산남동),
268,일반음식점,포미쌀국수, 청주시 서원구 월평로 7  퓨전빌딩 1층 102호 (분평동),
269,일반음식점,티룸, 청주시 서원구 내수동로 140  1층 103호 (사창동),
270,일반음식점,청주돈가, 청주시 서원구 구룡산로 334  1층 (수곡동),
271,일반음식점,반가츠, 청주시 서원구 복대로 31  갤러리타워 1층 107호 (개신동),
272,일반음식점,한끼뚝닭, 청주시 서원구 사직대로265번길 19  1층 2호 (사직동),
273,일반음식점,블러썸로드, 청주시 서원구 무심서로 527  3층 (사직동),
274,일반음식점,전설의 불닭, 청주시 서원구 구룡산로 243  1층 (수곡동),
275,일반음식점,영천닭집, 청주시 서원구 수곡로114번길 8-12  1층 (수곡동),
276,일반음식점,돈향, 청주시 서원구 현도면 죽전2길 74  1층,
277,일반음식점,엔돌핀, 청주시 서원구 구룡산로326번길 31  1층 (수곡동),
278,일반음식점,국제식당, 청주시 서원구 구룡산로52번길 2  1층 (성화동),
279,일반음식점,막창품은뒷고기, 청주시 서원구 구룡산로51번길 20  1층 101호 (성화동),
280,일반음식점,정인식당(情人식당), 청주시 서원구 대원로 29  1층 (사직동),
281,일반음식점,타임(Time), 청주시 서원구 청남로2022번길 7  1층 (수곡동),
282,일반음식점,풍류집, 청주시 서원구 두꺼비로60번길 26-7  1층 (산남동),
283,일반음식점,일이네석쇠불고기, 청주시 서원구 사직대로144번길 35-2  1층 103호 (사창동),
284,일반음식점,은화수식당 충북대점, 청주시 서원구 내수동로102번길 40  1층 (사창동),
285,일반음식점,동대문떡볶이 동떡충북대점, 청주시 서원구 1순환로 682  1층 SHOP#103호 (사창동),
286,일반음식점,헝그리브라더스 필라프앤파스타 사창점, 청주시 서원구 사직대로157번길 29  1층 (사창동),
287,일반음식점,민희, 청주시 서원구 현도면 노산하석로 71  1층,
288,일반음식점,선비꼬마김밥 청주산남점, 청주시 서원구 산남로 16  1층 (산남동),
289,일반음식점,쭈닭, 청주시 서원구 예체로1번길 43  1층 (개신동),
290,일반음식점,오십오식당, 청주시 서원구 구룡산로 218  1층 (산남동),
291,일반음식점,따거, 청주시 서원구 구룡산로 245-1  1층 (수곡동),
292,일반음식점,딜리버리 프렌즈, 청주시 서원구 서부로 1350  1층 108호 (성화동),
293,일반음식점,사사삼에스티(443st), 청주시 서원구 1순환로674번길 26  2층 (사창동),
294,일반음식점,고수의 비법, 청주시 서원구 사직대로82번길 21  1층 (사창동),
295,일반음식점,해물칼국수, 청주시 서원구 호국로 80-2  1층 (사직동),
296,일반음식점,봉이쌈닭, 청주시 서원구 성화로 75  1층 (죽림동),
297,일반음식점,사백팔십일(481), 청주시 서원구 신화로36번길 32  제누스타 1층 106호 (성화동),
298,일반음식점,멕시카나사직점, 청주시 서원구 호국로 41  1층 (사직동),
299,일반음식점,골목낙곱새, 청주시 서원구 매봉로76번길 48  1층 (수곡동),
300,일반음식점,동감(同感), 청주시 서원구 창직로 45-1  1층 (사창동),
301,일반음식점,보노보노웍, 청주시 서원구 수영로24번길 6  1층 (수곡동),
